permno,adate,qdate,public_date,bm,TICKER
10302,1998-12-31,1999-09-30,2000-01-31,0.271,CY
10302,1999-12-31,1999-12-31,2000-02-29,0.211,CY
10302,1999-12-31,1999-12-31,2000-03-31,0.211,CY
10302,1999-12-31,1999-12-31,2000-04-30,0.211,CY
10302,1999-12-31,2000-03-31,2000-05-31,0.149,CY
10302,1999-12-31,2000-03-31,2000-06-30,0.149,CY
10302,1999-12-31,2000-03-31,2000-07-31,0.149,CY
10302,1999-12-31,2000-06-30,2000-08-31,0.189,CY
10302,1999-12-31,2000-06-30,2000-09-30,0.189,CY
10302,1999-12-31,2000-06-30,2000-10-31,0.189,CY
10302,1999-12-31,2000-09-30,2000-11-30,0.207,CY
10302,1999-12-31,2000-09-30,2000-12-31,0.207,CY
10302,1999-12-31,2000-09-30,2001-01-31,0.207,CY
10302,2000-12-31,2000-12-31,2001-02-28,0.579,CY
10302,2000-12-31,2000-12-31,2001-03-31,0.579,CY
10302,2000-12-31,2000-12-31,2001-04-30,0.579,CY
10302,2000-12-31,2001-03-31,2001-05-31,0.660,CY
10302,2000-12-31,2001-03-31,2001-06-30,0.660,CY
10302,2000-12-31,2001-03-31,2001-07-31,0.660,CY
10302,2000-12-31,2001-06-30,2001-08-31,0.464,CY
10302,2000-12-31,2001-06-30,2001-09-30,0.464,CY
10302,2000-12-31,2001-06-30,2001-10-31,0.464,CY
10302,2000-12-31,2001-09-30,2001-11-30,0.531,CY
10302,2000-12-31,2001-09-30,2001-12-31,0.531,CY
10302,2000-12-31,2001-09-30,2002-01-31,0.531,CY
10302,2001-12-31,2001-12-31,2002-02-28,0.443,CY
10302,2001-12-31,2001-12-31,2002-03-31,0.443,CY
10302,2001-12-31,2001-12-31,2002-04-30,0.443,CY
10302,2001-12-31,2002-03-31,2002-05-31,0.371,CY
10302,2001-12-31,2002-03-31,2002-06-30,0.371,CY
10302,2001-12-31,2002-03-31,2002-07-31,0.371,CY
10302,2001-12-31,2002-06-30,2002-08-31,0.448,CY
10302,2001-12-31,2002-06-30,2002-09-30,0.448,CY
10302,2001-12-31,2002-06-30,2002-10-31,0.448,CY
10302,2001-12-31,2002-09-30,2002-11-30,0.977,CY
10302,2001-12-31,2002-09-30,2002-12-31,0.977,CY
10302,2001-12-31,2002-09-30,2003-01-31,0.977,CY
10302,2002-12-31,2002-12-31,2003-02-28,1.202,CY
10302,2002-12-31,2002-12-31,2003-03-31,1.202,CY
10302,2002-12-31,2002-12-31,2003-04-30,1.202,CY
10302,2002-12-31,2003-03-31,2003-05-31,0.954,CY
10302,2002-12-31,2003-03-31,2003-06-30,0.954,CY
10302,2002-12-31,2003-03-31,2003-07-31,0.954,CY
10302,2002-12-31,2003-06-30,2003-08-31,0.482,CY
10302,2002-12-31,2003-06-30,2003-09-30,0.482,CY
10302,2002-12-31,2003-06-30,2003-10-31,0.482,CY
10302,2002-12-31,2003-09-30,2003-11-30,0.332,CY
10302,2002-12-31,2003-09-30,2003-12-31,0.332,CY
10302,2002-12-31,2003-09-30,2004-01-31,0.332,CY
10302,2003-12-31,2003-12-31,2004-02-29,0.261,CY
10302,2003-12-31,2003-12-31,2004-03-31,0.261,CY
10302,2003-12-31,2003-12-31,2004-04-30,0.261,CY
10302,2003-12-31,2004-03-31,2004-05-31,0.259,CY
10302,2003-12-31,2004-03-31,2004-06-30,0.259,CY
10302,2003-12-31,2004-03-31,2004-07-31,0.259,CY
10302,2003-12-31,2004-06-30,2004-08-31,0.423,CY
10302,2003-12-31,2004-06-30,2004-09-30,0.423,CY
10302,2003-12-31,2004-06-30,2004-10-31,0.423,CY
10302,2003-12-31,2004-09-30,2004-11-30,0.661,CY
10302,2003-12-31,2004-09-30,2004-12-31,0.661,CY
10302,2003-12-31,2004-09-30,2005-01-31,0.661,CY
