gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,cogsq,costat
001045,2000-03-31,2000,1,INDL,C,D,STD,AAL,USD,2000Q1,2000Q1,4077.0000,A
001045,2000-06-30,2000,2,INDL,C,D,STD,AAL,USD,2000Q2,2000Q2,4200.0000,A
001045,2000-09-30,2000,3,INDL,C,D,STD,AAL,USD,2000Q3,2000Q3,4377.0000,A
001045,2000-12-31,2000,4,INDL,C,D,STD,AAL,USD,2000Q4,2000Q4,4466.0000,A
001045,2001-03-31,2001,1,INDL,C,D,STD,AAL,USD,2001Q1,2001Q1,4451.0000,A
001045,2001-06-30,2001,2,INDL,C,D,STD,AAL,USD,2001Q2,2001Q2,5306.0000,A
001045,2001-09-30,2001,3,INDL,C,D,STD,AAL,USD,2001Q3,2001Q3,5183.0000,A
001045,2001-12-31,2001,4,INDL,C,D,STD,AAL,USD,2001Q4,2001Q4,4479.0000,A
001045,2002-03-31,2002,1,INDL,C,D,STD,AAL,USD,2002Q1,2002Q1,4551.0000,A
001045,2002-06-30,2002,2,INDL,C,D,STD,AAL,USD,2002Q2,2002Q2,4771.0000,A
001045,2002-09-30,2002,3,INDL,C,D,STD,AAL,USD,2002Q3,2002Q3,4797.0000,A
001045,2002-12-31,2002,4,INDL,C,D,STD,AAL,USD,2002Q4,2002Q4,4522.0000,A
001045,2003-03-31,2003,1,INDL,C,D,STD,AAL,USD,2003Q1,2003Q1,3943.0000,A
001045,2003-06-30,2003,2,INDL,C,D,STD,AAL,USD,2003Q2,2003Q2,3589.0000,A
001045,2003-09-30,2003,3,INDL,C,D,STD,AAL,USD,2003Q3,2003Q3,3525.0000,A
001045,2003-12-31,2003,4,INDL,C,D,STD,AAL,USD,2003Q4,2003Q4,3373.0000,A
001045,2004-03-31,2004,1,INDL,C,D,STD,AAL,USD,2004Q1,2004Q1,3562.0000,A
001045,2004-06-30,2004,2,INDL,C,D,STD,AAL,USD,2004Q2,2004Q2,3745.0000,A
001045,2004-09-30,2004,3,INDL,C,D,STD,AAL,USD,2004Q3,2004Q3,3897.0000,A
001045,2004-12-31,2004,4,INDL,C,D,STD,AAL,USD,2004Q4,2004Q4,3916.0000,A
001045,2005-03-31,2005,1,INDL,C,D,STD,AAL,USD,2005Q1,2005Q1,3820.0000,A
001045,2005-06-30,2005,2,INDL,C,D,STD,AAL,USD,2005Q2,2005Q2,4158.0000,A
001045,2005-09-30,2005,3,INDL,C,D,STD,AAL,USD,2005Q3,2005Q3,4428.0000,A
001045,2005-12-31,2005,4,INDL,C,D,STD,AAL,USD,2005Q4,2005Q4,4426.0000,A
001045,2006-03-31,2006,1,INDL,C,D,STD,AAL,USD,2006Q1,2006Q1,4293.0000,A
001045,2006-06-30,2006,2,INDL,C,D,STD,AAL,USD,2006Q2,2006Q2,4524.0000,A
001045,2006-09-30,2006,3,INDL,C,D,STD,AAL,USD,2006Q3,2006Q3,4605.0000,A
001045,2006-12-31,2006,4,INDL,C,D,STD,AAL,USD,2006Q4,2006Q4,4237.0000,A
001045,2007-03-31,2007,1,INDL,C,D,STD,AAL,USD,2007Q1,2007Q1,4185.0000,A
001045,2007-06-30,2007,2,INDL,C,D,STD,AAL,USD,2007Q2,2007Q2,4433.0000,A
001045,2007-09-30,2007,3,INDL,C,D,STD,AAL,USD,2007Q3,2007Q3,4583.0000,A
001045,2007-12-31,2007,4,INDL,C,D,STD,AAL,USD,2007Q4,2007Q4,4687.0000,A
001045,2008-03-31,2008,1,INDL,C,D,STD,AAL,USD,2008Q1,2008Q1,4841.0000,A
001045,2008-06-30,2008,2,INDL,C,D,STD,AAL,USD,2008Q2,2008Q2,5239.0000,A
001045,2008-09-30,2008,3,INDL,C,D,STD,AAL,USD,2008Q3,2008Q3,5525.0000,A
001045,2008-12-31,2008,4,INDL,C,D,STD,AAL,USD,2008Q4,2008Q4,4503.0000,A
001045,2009-03-31,2009,1,INDL,C,D,STD,AAL,USD,2009Q1,2009Q1,4070.0000,A
001045,2009-06-30,2009,2,INDL,C,D,STD,AAL,USD,2009Q2,2009Q2,4140.0000,A
001045,2009-09-30,2009,3,INDL,C,D,STD,AAL,USD,2009Q3,2009Q3,4303.0000,A
001045,2009-12-31,2009,4,INDL,C,D,STD,AAL,USD,2009Q4,2009Q4,4325.0000,A
001045,2010-03-31,2010,1,INDL,C,D,STD,AAL,USD,2010Q1,2010Q1,4360.0000,A
001045,2010-06-30,2010,2,INDL,C,D,STD,AAL,USD,2010Q2,2010Q2,4575.0000,A
001045,2010-09-30,2010,3,INDL,C,D,STD,AAL,USD,2010Q3,2010Q3,4567.0000,A
