gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,cibegni,cogs,csho,dltt,ib,lct,lt,oancf,revt,costat,gsector
001045,2000-12-31,2000,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,5179.0000,26213.0000,,17120.0000,152.0630,5474.0000,779.0000,6990.0000,19037.0000,3142.0000,19703.0000,A,20
001045,2001-12-31,2001,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6540.0000,32841.0000,,19419.0000,154.4850,9834.0000,-1762.0000,7512.0000,27468.0000,511.0000,18963.0000,A,20
001045,2002-12-31,2002,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,4937.0000,30267.0000,,18555.0000,156.0890,12310.0000,-2523.0000,7240.0000,29310.0000,-1111.0000,17299.0000,A,20
001045,2003-12-31,2003,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,4682.0000,29330.0000,,14430.0000,159.5820,13126.0000,-1228.0000,6559.0000,29284.0000,601.0000,17440.0000,A,20
001045,2004-12-31,2004,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,4971.0000,28773.0000,-761.0000,15120.0000,161.1560,13524.0000,-761.0000,7018.0000,29354.0000,717.0000,18645.0000,A,20
001045,2005-12-31,2005,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6164.0000,29495.0000,-861.0000,16832.0000,182.7320,13456.0000,-861.0000,8320.0000,30973.0000,1024.0000,20712.0000,A,20
001045,2006-12-31,2006,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6902.0000,29145.0000,231.0000,17659.0000,222.2240,12041.0000,231.0000,8505.0000,29751.0000,1939.0000,22563.0000,A,20
001045,2007-12-31,2007,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,7229.0000,28571.0000,504.0000,18026.0000,249.3980,10093.0000,504.0000,8483.0000,25914.0000,1935.0000,22896.0000,A,20
001045,2008-12-31,2008,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,5935.0000,25175.0000,-2071.0000,20232.0000,278.9490,9001.0000,-2071.0000,9374.0000,28110.0000,-1394.0000,23766.0000,A,20
001045,2009-12-31,2009,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6642.0000,25438.0000,-1468.0000,16935.0000,332.6240,10583.0000,-1468.0000,7728.0000,28927.0000,930.0000,19917.0000,A,20
001045,2010-12-31,2010,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6838.0000,25088.0000,-471.0000,18138.0000,333.4500,9253.0000,-471.0000,8780.0000,29033.0000,1241.0000,22170.0000,A,20
001045,2011-12-31,2011,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6757.0000,23848.0000,-1979.0000,20420.0000,335.2680,6702.0000,-1979.0000,8630.0000,30959.0000,680.0000,24022.0000,A,20
001045,2012-12-31,2012,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,7072.0000,23510.0000,-1876.0000,20529.0000,335.2920,7116.0000,-1876.0000,9304.0000,31497.0000,1279.0000,24855.0000,A,20
001045,2013-12-31,2013,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,14323.0000,42278.0000,-1834.0000,19084.0000,261.0690,15353.0000,-1834.0000,13806.0000,45009.0000,675.0000,26712.0000,A,20
001045,2014-12-31,2014,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12112.0000,43771.0000,2882.0000,29511.0000,697.4750,16196.0000,2882.0000,13435.0000,41750.0000,3080.0000,42650.0000,A,20
001045,2015-12-31,2015,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,9985.0000,48415.0000,7610.0000,25416.0000,624.6220,18330.0000,7610.0000,13605.0000,42780.0000,6249.0000,40990.0000,A,20
001045,2016-12-31,2016,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,10324.0000,51274.0000,2676.0000,25695.0000,507.2940,22489.0000,2676.0000,13872.0000,47489.0000,6524.0000,40180.0000,A,20
001045,2017-12-31,2017,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,9146.0000,51396.0000,1919.0000,28262.0000,475.5080,22511.0000,1919.0000,14964.0000,47470.0000,4744.0000,42207.0000,A,20
001045,2018-12-31,2018,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,8637.0000,60580.0000,1412.0000,31365.0000,460.6110,29081.0000,1412.0000,18096.0000,60749.0000,3533.0000,44541.0000,A,20
001045,2019-12-31,2019,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,8206.0000,59995.0000,1686.0000,32027.0000,428.2030,28875.0000,1686.0000,18311.0000,60113.0000,3815.0000,45768.0000,A,20
001045,2020-12-31,2020,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,11095.0000,62008.0000,-8885.0000,22290.0000,621.4800,36573.0000,-8885.0000,16569.0000,68875.0000,-6543.0000,17337.0000,A,20
001045,2021-12-31,2021,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,17336.0000,66467.0000,-1993.0000,27969.0000,647.7280,42181.0000,-1993.0000,19006.0000,73807.0000,704.0000,29882.0000,A,20
001045,2022-12-31,2022,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,15269.0000,64716.0000,127.0000,37631.0000,650.6420,38948.0000,127.0000,21496.0000,70515.0000,2173.0000,48971.0000,A,20
001075,2000-12-31,2000,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,793.9130,7149.1510,,2619.7940,84.8250,1955.0830,302.3320,1191.2980,4766.4370,699.5600,3690.1750,A,55
001075,2001-12-31,2001,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,727.4050,7981.7480,,3448.8430,84.8250,2673.0780,327.3670,1090.9290,5482.4250,570.9300,4551.3730,A,55
001075,2002-12-31,2002,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,812.6880,8425.8060,,1696.3460,91.2550,2881.6950,215.1530,1055.1150,5739.6530,870.7740,2637.2790,A,55
001075,2003-12-31,2003,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,969.0470,9536.3780,,1897.6560,91.2880,2897.7250,230.5760,1150.9740,6706.5990,901.8300,2817.8520,A,55
001075,2004-12-31,2004,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1137.1300,9896.7470,243.1950,1992.3610,91.7930,2584.9850,235.2180,1625.8960,6946.5510,842.0800,2899.7250,A,55
001075,2005-12-31,2005,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1891.3920,11322.6450,176.2670,1986.4520,99.0570,2608.4550,223.1630,2272.0730,7897.6810,730.2960,2987.9550,A,55
001075,2006-12-31,2006,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1474.6620,11455.9430,327.2550,2424.2340,99.9590,3232.6330,317.1430,1458.5600,8009.8270,393.5020,3401.7480,A,55
001075,2007-12-31,2007,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,947.4470,11243.7120,307.1430,2530.9330,100.4860,3127.1250,298.7800,1384.9670,7712.1010,657.9360,3523.6200,A,55
