gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,curcdq,datacqtr,datafqtr,actq,atq,ceqq,cibegniq,dlttq,lctq,lltq,revtq,oancfy,costat
001045,2010-03-31,2010,1,INDL,C,D,STD,AAL,02376R102,USD,2010Q1,2010Q1,6834.0000,25525.0000,-3892.0000,,10420.0000,8241.0000,21176.0000,5068.0000,456.0000,A
001045,2010-06-30,2010,2,INDL,C,D,STD,AAL,02376R102,USD,2010Q2,2010Q2,7344.0000,25885.0000,-3930.0000,,9668.0000,9359.0000,20456.0000,5674.0000,1173.0000,A
001045,2010-09-30,2010,3,INDL,C,D,STD,AAL,02376R102,USD,2010Q3,2010Q3,6837.0000,25357.0000,-3643.0000,,9513.0000,8939.0000,20061.0000,5842.0000,1090.0000,A
001045,2010-12-31,2010,4,INDL,C,D,STD,AAL,02376R102,USD,2010Q4,2010Q4,6838.0000,25088.0000,-3945.0000,-471.0000,9253.0000,8780.0000,20253.0000,5586.0000,1241.0000,A
001045,2011-03-31,2011,1,INDL,C,D,STD,AAL,02376R102,USD,2011Q1,2011Q1,8825.0000,27113.0000,-3949.0000,-436.0000,10156.0000,9853.0000,21209.0000,5533.0000,708.0000,A
001045,2011-06-30,2011,2,INDL,C,D,STD,AAL,02376R102,USD,2011Q2,2011Q2,7997.0000,25787.0000,-4509.0000,-286.0000,10052.0000,9766.0000,20530.0000,6114.0000,653.0000,A
001045,2011-09-30,2011,3,INDL,C,D,STD,AAL,02376R102,USD,2011Q3,2011Q3,6838.0000,24719.0000,-4833.0000,-162.0000,10167.0000,8923.0000,20629.0000,6376.0000,346.0000,A
001045,2011-12-31,2011,4,INDL,C,D,STD,AAL,02376R102,USD,2011Q4,2011Q4,6757.0000,23848.0000,-7111.0000,-1095.0000,6702.0000,8630.0000,22329.0000,5999.0000,680.0000,A
001045,2012-03-31,2012,1,INDL,C,D,STD,AAL,02376R102,USD,2012Q1,2012Q1,7778.0000,24511.0000,-8686.0000,-1660.0000,6891.0000,9543.0000,23654.0000,6037.0000,1067.0000,A
001045,2012-06-30,2012,2,INDL,C,D,STD,AAL,02376R102,USD,2012Q2,2012Q2,7984.0000,24726.0000,-8968.0000,-240.0000,6716.0000,10066.0000,23628.0000,6453.0000,1722.0000,A
001045,2012-09-30,2012,3,INDL,C,D,STD,AAL,02376R102,USD,2012Q3,2012Q3,7303.0000,23927.0000,-7375.0000,-239.0000,6489.0000,9586.0000,21716.0000,6428.0000,1567.0000,A
001045,2012-12-31,2012,4,INDL,C,D,STD,AAL,02376R102,USD,2012Q4,2012Q4,7072.0000,23510.0000,-7987.0000,263.0000,7116.0000,9304.0000,22193.0000,5937.0000,1279.0000,A
001045,2013-03-31,2013,1,INDL,C,D,STD,AAL,02376R102,USD,2013Q1,2013Q1,7525.0000,23852.0000,-8376.0000,-341.0000,7021.0000,9990.0000,22238.0000,6098.0000,683.0000,A
001045,2013-06-30,2013,2,INDL,C,D,STD,AAL,02376R102,USD,2013Q2,2013Q2,9635.0000,26216.0000,-8216.0000,219.0000,8354.0000,10669.0000,23763.0000,6449.0000,1840.0000,A
001045,2013-09-30,2013,3,INDL,C,D,STD,AAL,02376R102,USD,2013Q3,2013Q3,10241.0000,26780.0000,-7922.0000,289.0000,9208.0000,10098.0000,24604.0000,6828.0000,1803.0000,A
