permno,adate,qdate,public_date,GProf,TICKER
10104,2009-05-31,2009-11-30,2010-01-31,0.383,ORCL
10104,2009-05-31,2009-11-30,2010-02-28,0.383,ORCL
10104,2009-05-31,2009-11-30,2010-03-31,0.383,ORCL
10104,2009-05-31,2010-02-28,2010-04-30,0.370,ORCL
10104,2009-05-31,2010-02-28,2010-05-31,0.370,ORCL
10104,2009-05-31,2010-02-28,2010-06-30,0.370,ORCL
10104,2010-05-31,2010-05-31,2010-07-31,0.347,ORCL
10104,2010-05-31,2010-05-31,2010-08-31,0.347,ORCL
10104,2010-05-31,2010-05-31,2010-09-30,0.347,ORCL
10104,2010-05-31,2010-08-31,2010-10-31,0.380,ORCL
10104,2010-05-31,2010-08-31,2010-11-30,0.380,ORCL
10104,2010-05-31,2010-08-31,2010-12-31,0.380,ORCL
10104,2010-05-31,2010-11-30,2011-01-31,0.386,ORCL
10104,2010-05-31,2010-11-30,2011-02-28,0.386,ORCL
10104,2010-05-31,2010-11-30,2011-03-31,0.386,ORCL
10104,2010-05-31,2011-02-28,2011-04-30,0.401,ORCL
10104,2010-05-31,2011-02-28,2011-05-31,0.401,ORCL
10104,2010-05-31,2011-02-28,2011-06-30,0.401,ORCL
10104,2011-05-31,2011-05-31,2011-07-31,0.375,ORCL
10104,2011-05-31,2011-05-31,2011-08-31,0.375,ORCL
10104,2011-05-31,2011-05-31,2011-09-30,0.375,ORCL
10104,2011-05-31,2011-08-31,2011-10-31,0.405,ORCL
10104,2011-05-31,2011-08-31,2011-11-30,0.405,ORCL
10104,2011-05-31,2011-08-31,2011-12-31,0.405,ORCL
10104,2011-05-31,2011-11-30,2012-01-31,0.403,ORCL
10104,2011-05-31,2011-11-30,2012-02-29,0.403,ORCL
10104,2011-05-31,2011-11-30,2012-03-31,0.403,ORCL
10104,2011-05-31,2012-02-29,2012-04-30,0.399,ORCL
10104,2011-05-31,2012-02-29,2012-05-31,0.399,ORCL
10104,2011-05-31,2012-02-29,2012-06-30,0.399,ORCL
10104,2012-05-31,2012-05-31,2012-07-31,0.380,ORCL
10104,2012-05-31,2012-05-31,2012-08-31,0.380,ORCL
10104,2012-05-31,2012-05-31,2012-09-30,0.380,ORCL
10104,2012-05-31,2012-08-31,2012-10-31,0.394,ORCL
10104,2012-05-31,2012-08-31,2012-11-30,0.394,ORCL
10104,2012-05-31,2012-08-31,2012-12-31,0.394,ORCL
10104,2012-05-31,2012-11-30,2013-01-31,0.392,ORCL
10104,2012-05-31,2012-11-30,2013-02-28,0.392,ORCL
10104,2012-05-31,2012-11-30,2013-03-31,0.392,ORCL
10104,2012-05-31,2013-02-28,2013-04-30,0.387,ORCL
10104,2012-05-31,2013-02-28,2013-05-31,0.387,ORCL
10104,2012-05-31,2013-02-28,2013-06-30,0.387,ORCL
10104,2013-05-31,2013-05-31,2013-07-31,0.374,ORCL
10104,2013-05-31,2013-05-31,2013-08-31,0.374,ORCL
10104,2013-05-31,2013-05-31,2013-09-30,0.374,ORCL
10104,2013-05-31,2013-08-31,2013-10-31,0.377,ORCL
10104,2013-05-31,2013-08-31,2013-11-30,0.377,ORCL
10104,2013-05-31,2013-08-31,2013-12-31,0.377,ORCL
10104,2013-05-31,2013-11-30,2014-01-31,0.373,ORCL
