PERMNO,date,TICKER,PRC,VOL
12308,2010-09-14,CHTR,35.50000,95212
12308,2010-09-15,CHTR,34.75000,74101
12308,2010-09-16,CHTR,34.11000,35709
12308,2010-09-17,CHTR,34.50000,10224
12308,2010-09-20,CHTR,34.50000,80378
12308,2010-09-21,CHTR,33.84000,20621
12308,2010-09-22,CHTR,33.50000,7613
12308,2010-09-23,CHTR,33.30000,7295
12308,2010-09-24,CHTR,33.80000,7201
12308,2010-09-27,CHTR,33.05000,20262
12308,2010-09-28,CHTR,33.49000,455
12308,2010-09-29,CHTR,33.34000,183357
12308,2010-09-30,CHTR,32.50000,84163
12308,2010-10-01,CHTR,33.10000,47576
12308,2010-10-04,CHTR,32.98000,28703
12308,2010-10-05,CHTR,32.90000,24600
12308,2010-10-06,CHTR,32.42000,14094
12308,2010-10-07,CHTR,32.17000,37500
12308,2010-10-08,CHTR,32.00000,16467
12308,2010-10-11,CHTR,32.85000,63875
12308,2010-10-12,CHTR,32.90000,144145
12308,2010-10-13,CHTR,32.50000,114378
12308,2010-10-14,CHTR,33.00000,439517
12308,2010-10-15,CHTR,33.29000,1235076
12308,2010-10-18,CHTR,32.90000,173551
12308,2010-10-19,CHTR,33.09000,52490
12308,2010-10-20,CHTR,32.98000,157586
12308,2010-10-21,CHTR,32.93000,262812
12308,2010-10-22,CHTR,33.12000,271935
12308,2010-10-25,CHTR,32.50000,28541
12308,2010-10-26,CHTR,32.66000,7654
12308,2010-10-27,CHTR,32.46000,12755
12308,2010-10-28,CHTR,32.47000,4519
12308,2010-10-29,CHTR,32.48000,23251
12308,2010-11-01,CHTR,32.55000,53590
12308,2010-11-02,CHTR,32.51000,57675
12308,2010-11-03,CHTR,33.35000,191477
12308,2010-11-04,CHTR,35.75000,497660
12308,2010-11-05,CHTR,35.72000,64515
12308,2010-11-08,CHTR,35.79000,49643
12308,2010-11-09,CHTR,35.80000,115246
12308,2010-11-10,CHTR,35.90000,232471
12308,2010-11-11,CHTR,36.00000,124215
12308,2010-11-12,CHTR,35.83000,39239
12308,2010-11-15,CHTR,35.87000,22800
12308,2010-11-16,CHTR,35.87000,18162
12308,2010-11-17,CHTR,35.79000,162446
12308,2010-11-18,CHTR,35.81000,48631
12308,2010-11-19,CHTR,35.69000,54348
12308,2010-11-22,CHTR,35.31000,29183
12308,2010-11-23,CHTR,35.05000,93990
