PERMNO,date,SHRCD,TICKER,SHRCLS,TRDSTAT,SECSTAT,FACPR,FACSHR,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX
10104,01/31/2019,11,ORCL,,A,R,0.00000,0.00000,44.78000,50.36000,50.23000,3248083,0.116722,50.23000,50.24000,1,1,50.23000,,01/31/2019,0.112514
10104,02/28/2019,11,ORCL,,A,R,,,50.22000,52.60000,52.13000,2578429,0.037826,52.15000,52.16000,1,1,52.13000,,02/28/2019,0.037826
10104,03/29/2019,11,ORCL,,A,R,,,52.04000,54.04000,53.71000,3706972,0.030309,53.71000,53.72000,1,1,53.71000,,03/29/2019,0.030309
10104,04/30/2019,11,ORCL,,A,R,0.00000,0.00000,53.72000,55.41000,55.33000,1935070,0.034630,55.30000,55.31000,1,1,55.33000,,04/30/2019,0.030162
10104,05/31/2019,11,ORCL,,A,R,,,50.60000,54.88000,50.60000,2400930,-0.085487,50.58000,50.59000,1,1,50.60000,,05/31/2019,-0.085487
10104,06/28/2019,11,ORCL,,A,R,,,50.24000,56.99000,56.97000,4172203,0.125889,56.84000,56.85000,1,1,56.97000,,06/28/2019,0.125889
10104,07/31/2019,11,ORCL,,A,R,0.00000,0.00000,56.30000,60.15000,56.30000,2514810,-0.007548,56.30000,56.31000,1,1,56.30000,,07/31/2019,-0.011761
10104,08/30/2019,11,ORCL,,A,R,,,51.58000,55.88000,52.06000,2259730,-0.075311,52.03000,52.04000,1,1,52.06000,,08/30/2019,-0.075311
10104,09/30/2019,11,ORCL,,A,R,,,51.89000,56.29000,55.03000,3367994,0.057050,55.02000,55.03000,1,1,55.03000,,09/30/2019,0.057050
10104,10/31/2019,11,ORCL,,A,R,0.00000,0.00000,53.15000,56.89000,54.49000,2528444,-0.005452,54.48000,54.49000,1,1,54.49000,,10/31/2019,-0.009813
10104,11/29/2019,11,ORCL,,A,R,,,55.00000,56.61000,56.14000,1572243,0.030281,56.15000,56.16000,1,1,56.14000,,11/29/2019,0.030281
10104,12/31/2019,11,ORCL,,A,R,,,52.70000,56.47000,52.98000,2657013,-0.056288,52.97000,52.98000,1,1,52.98000,,12/31/2019,-0.056288
10104,01/31/2020,11,ORCL,,A,R,0.00000,0.00000,52.45000,55.43000,52.45000,2005627,-0.005474,52.42000,52.43000,1,1,52.45000,,01/31/2020,-0.010004
10104,02/28/2020,11,ORCL,,A,R,,,49.46000,55.73000,49.46000,1935500,-0.057007,49.45000,49.46000,1,1,49.46000,,02/28/2020,-0.057007
10104,03/31/2020,11,ORCL,,A,R,,,39.80000,50.90000,48.33000,5000331,-0.022847,48.33000,48.37000,1,1,48.33000,,03/31/2020,-0.022847
10104,04/30/2020,11,ORCL,,A,R,0.00000,0.00000,48.71000,54.62000,52.97000,2615529,0.100972,52.91000,52.92000,1,1,52.97000,,04/30/2020,0.096007
10104,05/29/2020,11,ORCL,,A,R,,,51.65000,53.77000,53.77000,2138695,0.015103,53.71000,53.72000,1,1,53.77000,,05/29/2020,0.015103
10104,06/30/2020,11,ORCL,,A,R,,,51.31000,55.27000,55.27000,3366788,0.027897,55.25000,55.27000,1,1,55.27000,,06/30/2020,0.027897
10104,07/31/2020,11,ORCL,,A,R,0.00000,0.00000,54.90000,57.53000,55.45000,2742218,0.007599,55.43000,55.45000,1,1,55.45000,,07/31/2020,0.003257
10104,08/31/2020,11,ORCL,,A,R,,,53.99000,57.88000,57.22000,2179598,0.031921,57.17000,57.18000,1,1,57.22000,,08/31/2020,0.031921
10104,09/30/2020,11,ORCL,,A,R,,,55.32000,60.94000,59.70000,4267449,0.043341,59.67000,59.69000,1,1,59.70000,,09/30/2020,0.043341
10104,10/30/2020,11,ORCL,,A,R,0.00000,0.00000,55.59000,61.46000,56.11000,2098049,-0.056114,56.10000,56.11000,1,1,56.11000,,10/30/2020,-0.060134
10104,11/30/2020,11,ORCL,,A,R,,,55.70000,57.76000,57.72000,1870671,0.028694,57.75000,57.77000,1,1,57.72000,,11/30/2020,0.028694
10104,12/31/2020,11,ORCL,,A,R,,,58.74000,65.30000,64.69000,2910949,0.120755,64.67000,64.68000,1,1,64.69000,,12/31/2020,0.120755
10104,01/29/2021,11,ORCL,,A,R,0.00000,0.00000,60.36000,63.75000,60.43000,1731055,-0.062143,60.42000,60.43000,1,1,60.43000,,01/29/2021,-0.065853
10104,02/26/2021,11,ORCL,,A,R,,,61.13000,65.30000,64.51000,2030198,0.067516,64.50000,64.51000,1,1,64.51000,,02/26/2021,0.067516
10104,03/31/2021,11,ORCL,,A,R,,,65.61000,72.64000,70.17000,3854119,0.087738,70.17000,70.18000,1,1,70.17000,,03/31/2021,0.087738
10104,04/30/2021,11,ORCL,,A,R,0.00000,0.00000,71.81000,79.24000,75.79000,2747488,0.084652,75.80000,75.81000,1,1,75.79000,,04/30/2021,0.080091
10104,05/28/2021,11,ORCL,,A,R,,,76.75000,80.40000,78.74000,2198755,0.038923,78.74000,78.76000,1,1,78.74000,,05/28/2021,0.038923
10104,06/30/2021,11,ORCL,,A,R,,,76.23000,84.61000,77.84000,2767391,-0.011430,77.83000,77.85000,1,1,77.84000,,06/30/2021,-0.011430
10104,07/30/2021,11,ORCL,,A,R,0.00000,0.00000,79.54000,90.69000,87.14000,2780749,0.123587,87.14000,87.15000,1,1,87.14000,,07/30/2021,0.119476
10104,08/31/2021,11,ORCL,,A,R,,,87.60000,90.95000,89.13000,1548850,0.022837,89.12000,89.13000,1,1,89.13000,,08/31/2021,0.022837
10104,09/30/2021,11,ORCL,,A,R,,,86.17000,91.25000,87.13000,2993188,-0.022439,87.12000,87.13000,1,1,87.13000,,09/30/2021,-0.022439
10104,10/29/2021,11,ORCL,,A,R,0.00000,0.00000,89.26000,98.25000,95.94000,1777275,0.104786,95.94000,95.95000,1,1,95.94000,,10/29/2021,0.101113
10104,11/30/2021,11,ORCL,,A,R,,,90.74000,96.15000,90.74000,1560291,-0.054201,90.74000,90.75000,1,1,90.74000,,11/30/2021,-0.054201
10104,12/31/2021,11,ORCL,,A,R,,,87.21000,103.65000,87.21000,2710437,-0.038902,87.20000,87.21000,1,1,87.21000,,12/31/2021,-0.038902
10104,01/31/2022,11,ORCL,,A,R,0.00000,0.00000,79.59000,89.28000,81.16000,2005905,-0.065703,81.14000,81.15000,1,1,81.16000,,01/31/2022,-0.069373
10104,02/28/2022,11,ORCL,,A,R,,,72.47000,83.45000,75.97000,1447025,-0.063948,75.96000,75.97000,1,1,75.97000,,02/28/2022,-0.063948
10104,03/31/2022,11,ORCL,,A,R,,,73.33000,84.29000,82.73000,2439407,0.088983,82.73000,82.74000,1,1,82.73000,,03/31/2022,0.088983
10104,04/29/2022,11,ORCL,,A,R,0.00000,0.00000,73.40000,84.07000,73.40000,1312745,-0.108909,73.41000,73.43000,1,1,73.40000,,04/29/2022,-0.112777
10104,05/31/2022,11,ORCL,,A,R,,,67.04000,75.21000,71.92000,1624399,-0.020164,71.93000,71.94000,1,1,71.92000,,05/31/2022,-0.020164
10104,06/30/2022,11,ORCL,,A,R,,,64.05000,73.14000,69.87000,2198139,-0.028504,69.87000,69.89000,1,1,69.87000,,06/30/2022,-0.028504
10104,07/29/2022,11,ORCL,,A,R,0.00000,0.00000,69.45000,77.84000,77.84000,1262558,0.118649,77.84000,77.85000,1,1,77.84000,,07/29/2022,0.114069
10104,08/31/2022,11,ORCL,,A,R,,,74.14000,79.52000,74.15000,1171619,-0.047405,74.20000,74.21000,1,1,74.15000,,08/31/2022,-0.047405
