PERMNO,date,TICKER,PRC
10160,2000-01-31,SAND,1.34375
10160,2000-02-29,SAND,3.75000
10160,2000-03-31,SAND,3.93750
10160,2000-04-28,SAND,1.96875
10160,2000-05-31,SAND,1.37500
10160,2000-06-30,SAND,-1.79688
10160,2000-07-31,SAND,1.31250
10160,2000-08-31,SAND,-1.37500
10160,2000-09-29,SAND,1.25000
10160,2000-10-31,SAND,1.03125
10160,2000-11-30,SAND,0.62500
10160,2000-12-29,SAND,1.03125
10160,2001-01-31,SAND,-1.18750
10160,2001-02-28,SAND,-1.25000
10160,2001-03-30,SAND,-1.21875
10160,2001-04-30,SAND,-1.10500
10160,2001-05-31,SAND,-1.26500
10160,2001-06-29,SAND,-1.22500
10160,2001-07-31,SAND,1.16000
10160,2001-08-31,SAND,-1.11000
10160,2001-09-28,SAND,0.92000
10160,2001-10-31,SAND,-0.92000
10160,2001-11-30,SAND,-0.93500
10160,2001-12-31,SAND,0.83000
10160,2002-01-31,SAND,-1.42500
10160,2002-02-28,SAND,-1.10500
10160,2002-03-28,SAND,-1.05500
10160,2002-04-30,SAND,-0.80000
10160,2002-05-31,SAND,-0.82500
10160,2002-06-28,SAND,-0.73500
10160,2002-07-31,SAND,-0.55500
10160,2002-08-30,SAND,-1.36000
10160,2002-09-30,SAND,1.80000
10160,2002-10-31,SAND,1.78000
10160,2002-11-29,SAND,1.87000
10160,2002-12-31,SAND,1.83000
10160,2003-01-31,SAND,2.17000
10160,2003-02-28,SAND,2.16000
10160,2003-03-31,SAND,-2.17000
10160,2003-04-30,SAND,-2.11000
10160,2003-05-30,SAND,2.20000
10160,2003-06-30,SAND,
10302,2000-01-31,CY,33.50000
10302,2000-02-29,CY,45.75000
10302,2000-03-31,CY,49.00000
10302,2000-04-28,CY,52.06250
10302,2000-05-31,CY,42.25000
10302,2000-06-30,CY,42.25000
10302,2000-07-31,CY,37.31250
10302,2000-08-31,CY,49.43750
10302,2000-09-29,CY,41.56250
10302,2000-10-31,CY,37.43750
10302,2000-11-30,CY,21.12500
10302,2000-12-29,CY,19.68750
10302,2001-01-31,CY,27.33000
10302,2001-02-28,CY,19.58000
10302,2001-03-30,CY,17.73000
10302,2001-04-30,CY,22.60000
10302,2001-05-31,CY,21.15000
10302,2001-06-29,CY,23.85000
10302,2001-07-31,CY,27.28000
10302,2001-08-31,CY,21.61000
10302,2001-09-28,CY,14.86000
10302,2001-10-31,CY,19.75000
10302,2001-11-30,CY,23.02000
10302,2001-12-31,CY,19.93000
10302,2002-01-31,CY,21.76000
10302,2002-02-28,CY,19.85000
10302,2002-03-28,CY,23.00000
10302,2002-04-30,CY,22.27000
10302,2002-05-31,CY,19.93000
10302,2002-06-28,CY,15.18000
10302,2002-07-31,CY,11.48000
10302,2002-08-30,CY,10.53000
10302,2002-09-30,CY,6.56000
10302,2002-10-31,CY,5.62000
10302,2002-11-29,CY,8.64000
10302,2002-12-31,CY,5.72000
10302,2003-01-31,CY,5.25000
10302,2003-02-28,CY,6.41000
10302,2003-03-31,CY,6.90000
10302,2003-04-30,CY,8.72000
10302,2003-05-30,CY,11.05000
10302,2003-06-30,CY,12.00000
10302,2003-07-31,CY,13.98000
10302,2003-08-29,CY,18.57000
10302,2003-09-30,CY,17.68000
10302,2003-10-31,CY,21.46000
10302,2003-11-28,CY,22.38000
10302,2003-12-31,CY,21.36000
10302,2004-01-30,CY,21.20000
10302,2004-02-27,CY,21.58000
10302,2004-03-31,CY,20.47000
10302,2004-04-30,CY,13.97000
10302,2004-05-28,CY,16.36000
10302,2004-06-30,CY,14.19000
10302,2004-07-30,CY,11.34000
10302,2004-08-31,CY,9.76000
10302,2004-09-30,CY,8.84000
10302,2004-10-29,CY,10.53000
10302,2004-11-30,CY,9.85000
10302,2004-12-31,CY,11.73000
10302,2005-01-31,CY,11.40000
10302,2005-02-28,CY,14.08000
10302,2005-03-31,CY,12.60000
