gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,aco,ao,cibegni,cshi,csho,dlc,dlto,dltt,ib,lct,lo,lt,oancf,revt,costat
001045,2000-12-31,2000,INDL,C,D,STD,AAL,USD,886.0000,1255.0000,,182.2790,152.0630,796.0000,3298.0000,5474.0000,779.0000,6990.0000,4188.0000,19037.0000,3142.0000,19703.0000,A
001045,2001-12-31,2001,INDL,C,D,STD,AAL,USD,1312.0000,3929.0000,,182.2790,154.4850,772.0000,7500.0000,9834.0000,-1762.0000,7512.0000,8495.0000,27468.0000,511.0000,18963.0000,A
001045,2002-12-31,2002,INDL,C,D,STD,AAL,USD,96.0000,4344.0000,,182.3500,156.0890,868.0000,9306.0000,12310.0000,-2523.0000,7240.0000,9760.0000,29310.0000,-1111.0000,17299.0000,A
001045,2003-12-31,2003,INDL,C,D,STD,AAL,USD,237.0000,3935.0000,,182.3500,159.5820,804.0000,10021.0000,13126.0000,-1228.0000,6559.0000,9599.0000,29284.0000,601.0000,17440.0000,A
001045,2004-12-31,2004,INDL,C,D,STD,AAL,USD,240.0000,3442.0000,-761.0000,182.3500,161.1560,806.0000,10897.0000,13524.0000,-761.0000,7018.0000,8812.0000,29354.0000,717.0000,18645.0000,A
001045,2005-12-31,2005,INDL,C,D,STD,AAL,USD,334.0000,3591.0000,-861.0000,195.3500,182.7320,1239.0000,10685.0000,13456.0000,-861.0000,8320.0000,9197.0000,30973.0000,1024.0000,20712.0000,A
001045,2006-12-31,2006,INDL,C,D,STD,AAL,USD,225.0000,3135.0000,231.0000,228.1640,222.2240,1349.0000,9708.0000,12041.0000,231.0000,8505.0000,9205.0000,29751.0000,1939.0000,22563.0000,A
001045,2007-12-31,2007,INDL,C,D,STD,AAL,USD,638.0000,2792.0000,504.0000,255.3380,249.3980,1049.0000,7584.0000,10093.0000,504.0000,8483.0000,7338.0000,25914.0000,1935.0000,22896.0000,A
001045,2008-12-31,2008,INDL,C,D,STD,AAL,USD,1033.0000,2396.0000,-2071.0000,284.8890,278.9490,1956.0000,7856.0000,9001.0000,-2071.0000,9374.0000,9735.0000,28110.0000,-1394.0000,23766.0000,A
001045,2009-12-31,2009,INDL,C,D,STD,AAL,USD,458.0000,2332.0000,-1468.0000,338.5640,332.6240,1114.0000,8465.0000,10583.0000,-1468.0000,7728.0000,10616.0000,28927.0000,930.0000,19917.0000,A
001045,2010-12-31,2010,INDL,C,D,STD,AAL,USD,560.0000,2236.0000,-471.0000,339.3900,333.4500,1883.0000,8006.0000,9253.0000,-471.0000,8780.0000,11000.0000,29033.0000,1241.0000,22170.0000,A
001045,2011-12-31,2011,INDL,C,D,STD,AAL,USD,499.0000,1891.0000,-1979.0000,341.2080,335.2680,1518.0000,5784.0000,6702.0000,-1979.0000,8630.0000,15627.0000,30959.0000,680.0000,24022.0000,A
001045,2012-12-31,2012,INDL,C,D,STD,AAL,USD,626.0000,2167.0000,-1876.0000,341.2320,335.2920,1419.0000,5810.0000,7116.0000,-1876.0000,9304.0000,15077.0000,31497.0000,1279.0000,24855.0000,A
001045,2013-12-31,2013,INDL,C,D,STD,AAL,USD,1465.0000,2299.0000,-1834.0000,261.0690,261.0690,1446.0000,13612.0000,15353.0000,-1834.0000,13806.0000,15850.0000,45009.0000,675.0000,26712.0000,A
001045,2014-12-31,2014,INDL,C,D,STD,AAL,USD,1260.0000,2244.0000,2882.0000,697.4750,697.4750,1708.0000,15613.0000,16196.0000,2882.0000,13435.0000,12119.0000,41750.0000,3080.0000,42650.0000,A
001045,2015-12-31,2015,INDL,C,D,STD,AAL,USD,748.0000,4580.0000,7610.0000,624.6220,624.6220,2231.0000,13794.0000,18330.0000,7610.0000,13605.0000,10845.0000,42780.0000,6249.0000,40990.0000,A
001045,2016-12-31,2016,INDL,C,D,STD,AAL,USD,639.0000,3527.0000,2676.0000,507.2940,507.2940,1855.0000,16589.0000,22489.0000,2676.0000,13872.0000,11117.0000,47489.0000,6524.0000,40180.0000,A
001045,2017-12-31,2017,INDL,C,D,STD,AAL,USD,651.0000,1800.0000,1919.0000,475.5080,475.5080,2554.0000,17435.0000,22511.0000,1919.0000,14964.0000,9962.0000,47470.0000,4744.0000,42207.0000,A
001045,2018-12-31,2018,INDL,C,D,STD,AAL,USD,495.0000,2277.0000,1412.0000,460.6110,460.6110,4948.0000,26449.0000,29081.0000,1412.0000,18096.0000,13562.0000,60749.0000,3533.0000,44541.0000,A
001045,2019-12-31,2019,INDL,C,D,STD,AAL,USD,621.0000,1678.0000,1686.0000,428.2030,428.2030,4569.0000,26254.0000,28875.0000,1686.0000,18311.0000,12898.0000,60113.0000,3815.0000,45768.0000,A
001045,2020-12-31,2020,INDL,C,D,STD,AAL,USD,666.0000,4894.0000,-8885.0000,621.4800,621.4800,4448.0000,28002.0000,36573.0000,-8885.0000,16569.0000,15724.0000,68875.0000,-6543.0000,17337.0000,A
001045,2021-12-31,2021,INDL,C,D,STD,AAL,USD,615.0000,5426.0000,-1993.0000,647.7280,647.7280,3996.0000,28573.0000,42181.0000,-1993.0000,19006.0000,12611.0000,73807.0000,704.0000,29882.0000,A
001045,2022-12-31,2022,INDL,C,D,STD,AAL,USD,892.0000,4758.0000,127.0000,650.6420,650.6420,4739.0000,26816.0000,38948.0000,127.0000,21496.0000,10061.0000,70515.0000,2173.0000,48971.0000,A
001075,2000-12-31,2000,INDL,C,D,STD,PNW,USD,103.7910,532.4730,,84.8250,84.8250,546.2440,,1955.0830,302.3320,1191.2980,477.0160,4766.4370,699.5600,3690.1750,A
001075,2001-12-31,2001,INDL,C,D,STD,PNW,USD,147.1760,728.0040,,84.8250,84.8250,531.9020,,2673.0780,327.3670,1090.9290,653.4250,5482.4250,570.9300,4551.3730,A
001075,2002-12-31,2002,INDL,C,D,STD,PNW,USD,167.2340,586.0530,,91.3800,91.2550,383.2060,,2881.6950,215.1530,1055.1150,593.7690,5739.6530,870.7740,2637.2790,A
001075,2003-12-31,2003,INDL,C,D,STD,PNW,USD,170.6640,364.3280,,91.3800,91.2880,511.5610,,2897.7250,230.5760,1150.9740,1328.6470,6706.5990,901.8300,2817.8520,A
001075,2004-12-31,2004,INDL,C,D,STD,PNW,USD,214.5500,349.6910,243.1950,91.8030,91.7930,688.1950,,2584.9850,235.2180,1625.8960,1508.1170,6946.5510,842.0800,2899.7250,A
001075,2005-12-31,2005,INDL,C,D,STD,PNW,USD,1106.2930,571.6940,176.2670,99.0770,99.0570,400.6200,,2608.4550,223.1630,2272.0730,1791.9000,7897.6810,730.2960,2987.9550,A
001075,2006-12-31,2006,INDL,C,D,STD,PNW,USD,710.9460,1062.3630,327.2550,99.9610,99.9590,37.3460,,3232.6330,317.1430,1458.5600,2092.8360,8009.8270,393.5020,3401.7480,A
001075,2007-12-31,2007,INDL,C,D,STD,PNW,USD,163.6210,858.0160,307.1430,100.5260,100.4860,504.4340,,3127.1250,298.7800,1384.9670,1956.2660,7712.1010,657.9360,3523.6200,A
