PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL
10104,01/31/2019,ORCL,44.78000,50.36000,50.23000,3248083
10104,02/28/2019,ORCL,50.22000,52.60000,52.13000,2578429
10104,03/29/2019,ORCL,52.04000,54.04000,53.71000,3706972
10104,04/30/2019,ORCL,53.72000,55.41000,55.33000,1935070
10104,05/31/2019,ORCL,50.60000,54.88000,50.60000,2400930
10104,06/28/2019,ORCL,50.24000,56.99000,56.97000,4172203
10104,07/31/2019,ORCL,56.30000,60.15000,56.30000,2514810
10104,08/30/2019,ORCL,51.58000,55.88000,52.06000,2259730
10104,09/30/2019,ORCL,51.89000,56.29000,55.03000,3367994
10104,10/31/2019,ORCL,53.15000,56.89000,54.49000,2528444
10104,11/29/2019,ORCL,55.00000,56.61000,56.14000,1572243
10104,12/31/2019,ORCL,52.70000,56.47000,52.98000,2657013
10104,01/31/2020,ORCL,52.45000,55.43000,52.45000,2005627
10104,02/28/2020,ORCL,49.46000,55.73000,49.46000,1935500
10104,03/31/2020,ORCL,39.80000,50.90000,48.33000,5000331
10104,04/30/2020,ORCL,48.71000,54.62000,52.97000,2615529
10104,05/29/2020,ORCL,51.65000,53.77000,53.77000,2138695
10104,06/30/2020,ORCL,51.31000,55.27000,55.27000,3366788
10104,07/31/2020,ORCL,54.90000,57.53000,55.45000,2742218
10104,08/31/2020,ORCL,53.99000,57.88000,57.22000,2179598
10104,09/30/2020,ORCL,55.32000,60.94000,59.70000,4267449
10104,10/30/2020,ORCL,55.59000,61.46000,56.11000,2098049
10104,11/30/2020,ORCL,55.70000,57.76000,57.72000,1870671
10104,12/31/2020,ORCL,58.74000,65.30000,64.69000,2910949
10104,01/29/2021,ORCL,60.36000,63.75000,60.43000,1731055
10104,02/26/2021,ORCL,61.13000,65.30000,64.51000,2030198
10104,03/31/2021,ORCL,65.61000,72.64000,70.17000,3854119
10104,04/30/2021,ORCL,71.81000,79.24000,75.79000,2747488
10104,05/28/2021,ORCL,76.75000,80.40000,78.74000,2198755
10104,06/30/2021,ORCL,76.23000,84.61000,77.84000,2767391
10104,07/30/2021,ORCL,79.54000,90.69000,87.14000,2780749
10104,08/31/2021,ORCL,87.60000,90.95000,89.13000,1548850
10104,09/30/2021,ORCL,86.17000,91.25000,87.13000,2993188
10104,10/29/2021,ORCL,89.26000,98.25000,95.94000,1777275
10104,11/30/2021,ORCL,90.74000,96.15000,90.74000,1560291
10104,12/31/2021,ORCL,87.21000,103.65000,87.21000,2710437
10104,01/31/2022,ORCL,79.59000,89.28000,81.16000,2005905
10104,02/28/2022,ORCL,72.47000,83.45000,75.97000,1447025
10104,03/31/2022,ORCL,73.33000,84.29000,82.73000,2439407
10104,04/29/2022,ORCL,73.40000,84.07000,73.40000,1312745
10104,05/31/2022,ORCL,67.04000,75.21000,71.92000,1624399
10104,06/30/2022,ORCL,64.05000,73.14000,69.87000,2198139
10104,07/29/2022,ORCL,69.45000,77.84000,77.84000,1262558
10104,08/31/2022,ORCL,74.14000,79.52000,74.15000,1171619
10104,09/30/2022,ORCL,61.07000,77.08000,61.07000,2329482
10104,10/31/2022,ORCL,62.41000,78.07000,78.07000,2001682
10104,11/30/2022,ORCL,75.03000,83.03000,83.03000,1433141
10104,12/30/2022,ORCL,78.78000,84.11000,81.74000,1724644
10107,01/31/2019,MSFT,97.40000,107.71000,104.43000,7140356
10107,02/28/2019,MSFT,102.78000,112.36000,112.03000,4688757
10107,03/29/2019,MSFT,110.39000,120.22000,117.94000,5893465
10107,04/30/2019,MSFT,119.02000,130.60001,130.60001,4330694
10107,05/31/2019,MSFT,123.35000,128.92999,123.68000,5472320
10107,06/28/2019,MSFT,119.84000,137.78000,133.96001,5077693
10107,07/31/2019,MSFT,135.67999,141.34000,136.27000,4835534
10107,08/30/2019,MSFT,132.21001,138.89000,137.86000,5853810
10107,09/30/2019,MSFT,136.03999,141.07001,139.03000,4777427
10107,10/31/2019,MSFT,134.64999,144.61000,143.37000,5627182
10107,11/29/2019,MSFT,143.72000,152.32001,151.38000,3930340
10107,12/31/2019,MSFT,149.31000,158.96001,157.70000,4520222
10107,01/31/2020,MSFT,157.58000,172.78000,170.23000,5588346
10107,02/28/2020,MSFT,158.17999,188.70000,162.00999,8865959
10107,03/31/2020,MSFT,135.42000,172.78999,157.71001,16102468
10107,04/30/2020,MSFT,152.11000,179.21001,179.21001,9846428
10107,05/29/2020,MSFT,174.57001,186.74001,183.25000,6880424
10107,06/30/2020,MSFT,182.83000,203.50999,203.50999,7637969
10107,07/31/2020,MSFT,201.30000,214.32001,205.00999,7691053
10107,08/31/2020,MSFT,203.38000,228.91000,225.53000,6911585
10107,09/30/2020,MSFT,200.39000,231.64999,210.33000,7676076
10107,10/30/2020,MSFT,202.47000,222.86000,202.47000,6307778
10107,11/30/2020,MSFT,202.33000,223.72000,214.07001,5731253
10107,12/31/2020,MSFT,210.52000,224.96001,222.42000,5953829
10107,01/29/2021,MSFT,212.25000,238.92999,231.96001,6485677
10107,02/26/2021,MSFT,228.99001,244.99001,232.38000,4900140
10107,03/31/2021,MSFT,226.73000,237.71001,235.77000,7249215
10107,04/30/2021,MSFT,242.35001,261.97000,252.17999,5681359
10107,05/28/2021,MSFT,239.00000,252.46001,249.67999,4947689
10107,06/30/2021,MSFT,245.71001,271.39999,270.89999,5080224
10107,07/30/2021,MSFT,271.60001,289.67001,284.91000,5220794
10107,08/31/2021,MSFT,284.82001,304.64999,301.88000,4415471
10107,09/30/2021,MSFT,281.92001,305.22000,281.92001,5023354
10107,10/29/2021,MSFT,283.10999,331.62000,331.62000,5157513
10107,11/30/2021,MSFT,329.37000,343.10999,330.59000,5091543
10107,12/31/2021,MSFT,319.91000,342.54001,336.32001,6250773
10107,01/31/2022,MSFT,288.48999,334.75000,310.98001,9460285
10107,02/28/2022,MSFT,280.26999,313.45999,298.79001,6905975
10107,03/31/2022,MSFT,275.85001,315.41000,308.31000,7351466
10107,04/29/2022,MSFT,270.22000,314.97000,277.51999,6263718
10107,05/31/2022,MSFT,252.56000,289.98001,271.87000,7420645
10107,06/30/2022,MSFT,242.25999,274.57999,256.82999,6210638
10107,07/29/2022,MSFT,251.89999,280.73999,280.73999,5341745
10107,08/31/2022,MSFT,261.47000,293.47000,261.47000,4766826
10107,09/30/2022,MSFT,232.89999,266.64999,232.89999,5746488
10107,10/31/2022,MSFT,225.41000,250.66000,232.13000,6703940
10107,11/30/2022,MSFT,214.25000,255.14000,255.14000,6145296
10107,12/30/2022,MSFT,234.53000,257.22000,239.82001,5991818
10138,01/31/2019,TROW,88.81000,96.61000,93.46000,375153
10138,02/28/2019,TROW,92.38000,100.43000,100.43000,265434
10138,03/29/2019,TROW,96.27000,102.85000,100.12000,269735
10138,04/30/2019,TROW,103.01000,109.76000,107.50000,210889
10138,05/31/2019,TROW,101.13000,106.86000,101.14000,222465
10138,06/28/2019,TROW,99.42000,109.71000,109.71000,231028
10138,07/31/2019,TROW,108.47000,115.36000,113.39000,238758
10138,08/30/2019,TROW,105.36000,110.62000,110.62000,220384
10138,09/30/2019,TROW,109.75000,120.09000,114.25000,217412
10138,10/31/2019,TROW,107.74000,117.76000,115.80000,255642
10138,11/29/2019,TROW,116.97000,123.71000,123.56000,141418
10138,12/31/2019,TROW,120.79000,125.35000,121.84000,175622
10138,01/31/2020,TROW,124.75000,136.57001,133.53000,247048
10138,02/28/2020,TROW,118.01000,139.06000,118.01000,240025
10138,03/31/2020,TROW,85.42000,128.75999,97.65000,632898
10138,04/30/2020,TROW,93.87000,116.92000,115.63000,309566
10138,05/29/2020,TROW,107.94000,122.46000,120.90000,262058
10138,06/30/2020,TROW,118.94000,130.77000,123.50000,281410
10138,07/31/2020,TROW,122.51000,138.10001,138.10001,243815
